IAB Categories ( Categories with some modifications. We should use them. Names should start with capital letter) ;;Colours;HSL (new subcategories vary +1- Lightness to - 7);Gradient-on read and on hover;Gradient HSL;Corresponding Gizmag Categories;Corresponding TeknikensVarld Categories;All TeknikensVarld Categories;;;
Art & Entertainment;;#ff6178;351, 100, 69;#ffc2b8;8, 100, 86;;;Bil och trafik (Car and Traffic);;System Colour;The colour is used for search results relevancy highlight (with alpha 0.25)
books & literature;;#f9627f;348, 93, 68;#fbc2bb;251, 194, 187;;;Miljo och teknik (Environmental and Technology);;Dark Accent  Colour;
celebrity fan/gossip;;#f26184;346, 85, 66;#f6c2be;4, 76, 85;;;Bilbranschen (automotive industry);;;
comics and animation;;#ff6e81;352, 100, 72;#f2c3c2;1, 65, 85;;;Konsument (consumer);;;
dance;;#ff8e98;355, 100, 78;#edc3c5;357, 54, 85;;;Experterna svarar (the experts respond);;;
humor;;#ff9ba1;356, 100, 80;#e9c3c8;352, 46, 84;;Övrigt (Other);Bilspionen (Car Peony);;;
movies & tv;;#ff8f91;359, 100, 78;#e4c3cb;345, 38, 83;;;Styling och tuning;;;
music;;#fc8383;0, 95, 75;#e0c3ce;337, 32, 82;;;Motorsport;;;
radio;;#f69dae;349, 83, 79;#dbc3d1;325, 25, 81;;;STCC (motorsport > stcc);;;
shows&events;;#f691ae;343, 85, 77;#d7c4d5;306, 19, 81;;;Aktuellt (current);;;
theatre;;#dd91ae;337, 53, 72;#d2c4d8;282, 20, 81;;;Kronika;;;
visual art&design;;#dd80ae;330, 58, 68;#cec4db;266, 24, 81;;;Övrigt (Other);;;
Automotive & Vehicles;;#99afc6;211, 28, 69;#bbd6f2;266, 24, 81;;;Test & provkörningar;;;
auto parts;;#95abbf;209, 25, 67;#bbd6ea;206, 53, 83;;;(Test & provkörningar >) Test;;;
auto repair;;#8da5b5;204, 21, 63;#bbd6e8;204, 49, 82;;styling-tuning;(Test & provkörningar >)Provkörning;;;
bicycles & accessories;;#869fad;202, 19, 60;#bbd6e3;200, 42, 81;;;(Test & provkörningar >) Dueller;;;
boats & watercraft;;#3cb0d9;196, 67, 54;#65d2ef;193, 81, 67;Marine;;(Test & provkörningar >) Begagnattest;;;
buying & selling cars;;#87a9b2;193, 22, 61;#bbd6d6;180, 25, 79;;Test & provkörningar;(Test & provkörningar >) Däcktest;;;
campers & rvs;;#8cadb5;192, 22, 63;#bbd6d1;169, 25, 79;;;;;;
cars;;#8bb1b7;188, 23, 63;#99c6d6;196, 43, 72;Automotive;bil och trafik (Car and Traffic); Bilv?rdsguider (Car Care Guides);;;
certified pre-owned;;#8cb6ba;185, 25, 64;#bbd6c5;142, 25, 79;;;(Test & provkörningar >)  Pryltest (stuff Test);;;
commercial vehicles;;#8bbabc;182, 27, 64;#cde5eb;192, 43, 86;;; (Test & provkörningar >) Övriga test (other tests);;;
electric vehicle;;#8bbcbc;180, 27, 64;#cde5d7;145, 32, 85;;;*In category Nyheter there are all other categories. We are not using Nyheter colour. ;;;
minivan;;#8fbcba;177, 25, 65;#cde5bd;96, 43, 82;;;* we shall ignore this ! Välj bilmärke;;;
motor shows;;#90bfbb;175, 27, 66;#c3e5c0;115, 42, 83;;bilspionen (Car Peony);(Test & provkörningar >)  Racingdäcktest;;;
motorcycles;;#95c4bf;174, 28, 68;#a9e8d8;165, 58, 79;Motocycles;;(Test & provkörningar >)  Sommardäcktest;;;
off-road vehicles;;#9eccc3;168, 31, 71;#b4e5ca;147, 49, 80;;;(Test & provkörningar >)  Vinterdäcktest;;;
road-side assistance;;#a5d3ca;168, 34, 74;#b4e5b3;119, 49, 80;;;*V?ra tidningar (Our Magazines. We should discard it);;;
scooters & mopeds;;#aad6ce;169, 35, 75;#b4e5c5;141, 49, 80;;;Teknikens Värld 2016;;;
trucks & suvs;;#99b0c1;206, 24, 68;#b4dbca;154, 35, 78;;;Klassiska Bilar (Classic Cars);;;
vehicle brands;;#9db5c4;203, 25, 69;#b4dbd4;169, 35, 78;;bilbranschen (automotive industry) & Välj bilmärke (Car Brand);Alla Bilar (We should discard it);;;
vehicle rental;;#a3bcc9;201, 26, 71;#b4dbe1;188, 43, 79;;;Stora Begbilboken (I don't know what's that. Discard!);;;
(aircrafts);;#a3b5c4;207, 22, 70;#c1d1db;203, 27, 81;Aircraft;;Stora Guiden Om (I don't know what's that. Discard!);;;
(transport);;#68bbc1;184, 42, 58;#d1edd8;135, 44, 87;Transport;;;;;
(urban transport);;#17b8dd;191, 81, 48;#92eaf4;186, 82, 76;Urban Transport;;;;;
Business & Industrial;; #9eb9c6;200, 26, 70;#efefef;215, 36, 80;;;;;;
advertising & marketing;;#9eb3c9;211, 28, 70;#efefef;216, 28, 80;;;;;;
aerospace & defense;;#a8e4f0;190, 70, 80;#d9f5e4;144, 58, 91;Space;;;;;
agriculture & forestry;;#9dbea6;136, 20, 68;#efefef;151, 20, 78;;;;;;
automation;;#9d9fd1;238, 36, 72;#cbcef4;236, 65, 88;Robotics;;;;;
biomedical;;#9bcabb;161, 31, 70;#efefef;176, 31, 80;;;;;;
business news;;#9dc5c9;185, 29, 70;#efefef;200, 29, 80;;;;;;
business operations;;#9fcacc;183, 31, 71;#efefef;198, 31, 81;;;;;;
business software;;#a1d1d1;180, 34, 73;#efefef;195, 34, 83;;;;;;
chemicals industry;;#a3d1ce;176, 33, 73;#efefef;186, 33, 83;;;;;;
company;;#9fd3ce;174, 37, 73;#efefef;189, 37, 83;;;;;;
energy;;#88d3ca;173, 46, 68;#7ddfef;188, 78, 71;Energy;;;;;
fashion industry;;#8dd8cd;171, 49, 70;#efefef;186, 49, 80;;;;;;
